id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,room_type
34901963,Big flat in the centre (3 db-rooms+sofabed),256982558,Gabriele,Retiro,Pacífico,40,-3,800,1,0,01/01/2019,0,1,90,Entire home/apt
34902023,Beautiful apartment in Salamanca Districs,135744812,Karen,Salamanca,Lista,40,-3,300,1,0,01/01/2019,0,1,0,Entire home/apt
34902185,Piso final Champions league 2019,263056374,Javier,Arganzuela,Acacias,40,-3,5000,1,0,01/01/2019,0,1,90,Entire home/apt
34902217,APARTMENT RENT FOR CHAMPIONS LEAGUE FINAL,233874738,Claudia Milena,Fuencarral - El Pardo,Pilar,40,-3,550,1,0,01/01/2019,0,1,0,Entire home/apt
34902580,Comfortable apartment with private room :),70332486,Eva,Carabanchel,Vista Alegre,40,-3,180,1,1,02/06/2019,0.27,1,90,Private room
34902845,Room for rent for UEFA Champions League. 1 of June,263059459,John,San Blas - Canillejas,Arcos,40,-3,1000,1,0,01/01/2019,0,1,365,Private room
34903490,Charming bedroom close to Wanda Metropolitano,102382269,Rubén,San Blas - Canillejas,Simancas,40,-3,300,1,0,01/01/2019,0,1,365,Private room
34903956,"Habitación privada, Champions",263066339,Marc,Chamberí,Rios Rosas,40,-3,349,1,0,01/01/2019,0,2,365,Private room
34904445,** 2 ROOMS FOR THE CHAMPIONS LEAGUE FINALS! **,52314244,Andrej,Chamberí,Almagro,40,-3,400,2,0,01/01/2019,0,1,365,Private room
34904859,Habitación fin semana Champions,263066339,Marc,Chamberí,Almagro,40,-3,349,1,0,01/01/2019,0,2,365,Private room
34905356,Cozy Room in Madrid center,66964199,Gema,Centro,Universidad,40,-3,650,2,0,01/01/2019,0,1,353,Private room
34905647,Piso 3 dormitorios Carabanchel muy bien comunicado,140208157,Carmen,Carabanchel,Vista Alegre,40,-3,52,8,6,17/07/2019,1.64,1,68,Entire home/apt
34905660,AMAZING PRIV. ROOM FOR CHAMPIONS LEAGUE FINAL,97676901,Luis,Salamanca,Lista,40,-3,150,1,1,02/06/2019,0.27,1,173,Private room
34905670,"Estudio Tablada - Cerca de Castellana. Diseño, comodidad y bien comunicado",262951885,Hector,Tetuán,Berruguete,40,-3,65,1,22,06/09/2019,5.64,1,143,Entire home/apt
34906565,Habitación para Champions,28342874,Noelia,Villa de Vallecas,Casco Histórico de Vallecas,40,-3,150,1,0,01/01/2019,0,2,365,Private room
34907367,Habitacion final champions. 10 min del wanda,263089091,Alvarito,Barajas,Alameda de Osuna,40,-3,300,1,0,01/01/2019,0,1,179,Private room
34914406,Final Champions 2019. 10' to Wanda Metropolitano,208214063,Juan Manuel,San Blas - Canillejas,Simancas,40,-3,1500,1,0,01/01/2019,0,1,363,Entire home/apt
34914479,Apartamento de Lujo 2 dormitorios 2 baños,180340272,Ronnie,Retiro,Niño Jesús,40,-3,3000,1,0,01/01/2019,0,1,90,Entire home/apt
34914686,Alquiler de habitacion a 20 del Wanda,263139662,Maria Jesús,San Blas - Canillejas,Hellín,40,-3,500,1,0,01/01/2019,0,1,0,Private room
34915544,"3 bedrooms, for families & friends in Gran Via",263005760,Beatriz,Centro,Justicia,40,-3,140,3,9,06/09/2019,2.35,1,252,Entire home/apt
34915627,Double room city center final champion league,24721783,Marijou,Centro,Palacio,40,-3,100,1,0,01/01/2019,0,2,87,Private room
34916175,Santa Ana's Charming Apartment,104897794,Alicia,Centro,Cortes,40,-3,69,2,12,12/09/2019,4.8,1,145,Entire home/apt
34916554,Welcome Puerta del Sol,201741093,Your.Rentals,Centro,Cortes,40,-3,121,1,1,23/06/2019,0.34,7,343,Entire home/apt
34916604,Habitación en Pradolongo para Champions,263148395,Sergio,Usera,Pradolongo,40,-3,150,2,1,02/06/2019,0.27,2,89,Private room
