price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,room_type
80,2,192,4.01,1,256,Entire home/apt
60,2,45,1.22,2,342,Shared room
35,1,32,3.22,1,0,Private room
65,3,209,2.56,1,307,Entire home/apt
73,2,232,2.76,8,116,Entire home/apt
25,2,10,0.13,3,292,Private room
60,3,61,0.9,1,332,Private room
70,3,11,0.15,8,261,Entire home/apt
50,270,5,0.06,2,48,Entire home/apt
69,2,512,6.06,1,316,Entire home/apt
29,1,176,2.08,3,0,Private room
23,1,426,5.59,3,317,Private room
125,5,54,0.82,3,264,Entire home/apt
99,3,19,0.23,1,256,Entire home/apt
85,7,22,0.32,3,292,Entire home/apt
72,3,73,1.07,2,260,Entire home/apt
100,3,147,1.74,1,315,Entire home/apt
55,2,593,7.03,1,232,Entire home/apt
50,7,24,0.29,1,198,Entire home/apt
22,1,1,0.02,1,261,Private room
75,3,150,1.78,1,174,Entire home/apt
60,1,28,0.51,4,265,Entire home/apt
130,2,17,0.23,1,360,Entire home/apt
60,3,1,0.01,1,323,Entire home/apt
43,30,18,0.36,4,237,Entire home/apt
80,3,174,2.08,1,261,Entire home/apt
140,2,153,1.95,6,332,Entire home/apt
140,2,19,0.33,6,348,Entire home/apt
150,2,20,0.3,6,294,Entire home/apt
50,180,15,0.18,1,315,Entire home/apt
35,2,44,0.68,1,348,Private room
50,30,2,0.06,1,262,Private room
48,3,122,1.7,1,39,Entire home/apt
194,2,13,0.17,2,298,Entire home/apt
25,2,245,3.06,1,296,Private room
110,2,98,1.18,1,291,Entire home/apt
35,2,371,5.78,2,233,Private room
250,3,89,1.48,6,347,Entire home/apt
100,3,26,0.36,2,321,Entire home/apt
85,1,246,2.93,3,297,Entire home/apt
24,5,134,1.66,4,147,Private room
75,3,23,0.32,3,322,Entire home/apt
205,5,54,0.69,1,81,Entire home/apt
59,3,406,4.85,2,215,Entire home/apt
110,3,113,1.35,1,61,Entire home/apt
50,2,209,2.51,2,140,Entire home/apt
45,200,0,0,1,358,Private room
135,3,236,2.91,1,311,Entire home/apt
42,10,15,0.21,5,343,Private room
59,30,385,4.67,2,210,Entire home/apt
104,2,34,0.56,26,6,Entire home/apt
100,5,13,0.16,30,360,Hotel room
110,3,172,2.07,6,181,Entire home/apt
27,10,17,0.31,5,286,Private room
100,3,185,2.23,1,146,Entire home/apt
104,3,56,0.72,1,51,Entire home/apt
145,2,87,1.06,4,328,Entire home/apt
70,2,45,0.55,1,285,Entire home/apt
59,3,398,4.76,2,9,Entire home/apt
85,3,38,0.47,9,287,Entire home/apt
65,3,78,1.12,1,275,Entire home/apt
58,1,319,4.42,3,314,Entire home/apt
61,3,122,1.49,2,304,Entire home/apt
28,3,19,0.31,1,79,Private room
48,90,5,0.07,1,257,Entire home/apt
73,2,160,2.02,8,136,Entire home/apt
35,1,34,0.41,5,42,Private room
75,2,128,1.57,9,350,Entire home/apt
49,3,192,2.32,9,307,Entire home/apt
34,2,0,0,2,0,Private room
50,10,0,0,3,0,Private room
95,5,141,2.14,2,146,Entire home/apt
145,3,22,0.28,1,1,Entire home/apt
35,2,26,0.4,1,339,Private room
40,1,30,0.36,2,347,Private room
30,1,37,0.45,2,349,Private room
40,1,40,0.53,2,287,Private room
24,1,21,0.49,2,338,Private room
33,3,43,0.52,5,0,Private room
85,3,21,0.26,9,336,Entire home/apt
80,1,118,2.07,5,331,Entire home/apt
220,2,317,3.98,3,320,Entire home/apt
65,5,41,0.5,1,3,Entire home/apt
45,5,218,2.64,1,264,Entire home/apt
80,3,229,2.79,1,156,Entire home/apt
28,10,1,0.04,2,364,Private room
20,4,162,1.96,2,322,Private room
87,3,131,1.63,2,319,Entire home/apt
30,90,0,0,1,365,Private room
20,1,22,0.27,4,170,Private room
85,4,233,2.85,3,108,Entire home/apt
50,2,232,2.89,4,325,Entire home/apt
65,3,197,2.41,1,268,Entire home/apt
95,2,51,0.63,3,274,Entire home/apt
129,2,122,1.88,1,33,Entire home/apt
65,2,4,0.05,3,0,Private room
59,1,361,5.02,1,273,Private room
75,3,49,0.62,3,217,Entire home/apt
12,2,4,0.08,1,0,Private room
65,5,36,0.45,1,230,Entire home/apt
65,3,8,0.13,2,345,Entire home/apt
55,2,165,2.02,4,319,Entire home/apt
110,1,159,2.05,1,181,Entire home/apt
25,2,108,1.54,1,80,Private room
67,1,218,2.7,6,20,Entire home/apt
125,1,134,1.72,1,335,Entire home/apt
25,1,469,5.95,4,298,Private room
20,1,188,2.3,4,173,Private room
130,1,3,0.05,2,290,Entire home/apt
90,1,24,0.38,2,157,Entire home/apt
96,7,6,0.08,1,109,Entire home/apt
